Player Name,Team,Skin Tone
Isaiah Hartenstein,Knicks/Thunder,L
Evan Fournier,Knicks,L
DaQuan Jeffries,Knicks,D
Ryan Arcidiacono,Knicks,L
Charlie Brown Jr,Knicks,D
Jalen Brunson,Knicks,L
RJ Barrett,Knicks,D
Immanuel Quickley,Knicks,D
PJ Washington,Mavericks,D
Dereck Lively II,Mavericks,D
Maxi Kleber,Mavericks,L
Derrick Jones Jr,Clippers,D
Kris Dunn,Clippers,D
Kevin Porter Jr,Clippers,D
Mo Bamba,Clippers,D
Nicolas Batum,Clippers,D
Nikola Jovic,Heat,L
Josh Richardson,Heat,D
Bennedict Mathurin,Pacers,D
Pascal Siakam,Pacers/Raptors,D
Myles Turner,Pacers,D
Tyrese Haliburton,Pacers,L
Ben Sheppard,Pacers,L
TJ McConnell,Pacers,L
Obi Toppin,Pacers,D
Jarace Walker,Pacers,D
Quenton Jackson,Pacers,D
Giannis Antetokounmpo,Bucks,D
Taurean Prince,Bucks,D
Brook Lopez,Bucks,L
Damian Lillard,Bucks,D
Andre Jackson Jr,Bucks,L
Gary Trent Jr,Bucks/Raptors,D
AJ Green,Bucks,L
Khris Middleton,Bucks,D
Bobby Portis,Bucks,D
Lindy Waters III,Warriors,L
Brandon Williams,Mavericks,D
Sam Merrill,Cavaliers,L
Shake Milton,Lakers/Timberwolves,D
Oso Ighodaro,Suns,L
Cam Spencer,Grizzlies,L
Colin Castleton,Grizzlies,L
Andrew Nembhard,Pacers,D
Thomas Bryant,Pacers,D
Tyus Jones,Suns,L
Zion Williamson,Pelicans,D
Brandon Ingram,Pelicans,D
Herb Jones,Pelicans,D
Jonas Valanciunas,Pelicans/Wizards,L
CJ McCollum,Pelicans,D
Larry Nance Jr,Pelicans,D
Matt Ryan,Pelicans,L
Kira Lewis Jr,Pelicans,D
Jordan Hawkins,Pelicans,D
Derrick Rose,Grizzlies,D
Ziaire Williams,Grizzlies,D
Jaxon Hayes,Lakers,D
Toumani Camara,Trailblazers,D
Deni Avdija,Trailblazers,L
Deandre Ayton,Trailblazers,D
Shaedon Sharpe,Trailblazers,D
Anfernee Simons,Trailblazers,D
Scoot Henderson,Trailblazers,D
Donovan Clingan,Trailblazers,L
Kris Murray,Trailblazers,D
Caleb Martin,76ers,L
Joel Embiid,76ers,D
Tyrese Maxey,76ers,D
Kyle Lowry,76ers,D
Guerschon Yabusele,76ers,D
Ricky Council IV,76ers,D
Jeff Dowtin,76ers,D
Adem Bona,76ers,D
Justin Edwards,76ers,D
Pat Spencer,Warriors,L
Gui Santos,Warriors,L
Jaden Springer,Celtics,D
Jock Landale,Rockets,L
Josh Hart,Knicks,D
OG Anunoby,Knicks/Raptors,D
Cam Payne,Knicks,D
Precious Achiuwa,Knicks/Raptors,D
Landry Shamet,Knicks,L
Jalen Williams,Thunder,D
Luguentz Dort,Thunder,D
Shai Gilgeous-Alexander,Thunder,D
Cason Wallace,Thunder,D
Aaron Wiggins,Thunder,D
Isaiah Joe,Thunder,D
Chet Holmgren,Thunder,L
Scottie Barnes,Raptors,D
Jakob Poetl,Raptors,L
Jalen Mcdaniels,Raptors,D
Malachi Flynn,Raptors,L
Gradey Dick,Raptors,L
Chris Paul,Warriors/Spurs,D
Dario Saric,Warriors,L
Moses Moody,Warriors,D
Draymond Green,Warriors,D
Marvin Bagley III,Pistons,D
Killian Hayes,Pistons,L
Stanley Umude,Pistons,D
Alec Burks,Heat,D
Kel'el Ware,Heat,D
Dean Wade,Cavaliers,L
Harrison Barnes,Spurs,D
Stephon Castle,Spurs,D
Victor Wembanyama,Spurs,D
Devin Vassell,Spurs,D
Julian Champagnie,Spurs,D
Keldon Johnson,Spurs,D
Tre Jones,Spurs,D
Charles Basssey,Spurs,D
Sandro Mamukelashvili,Spurs,L
DeAndre Jordan,Nuggets,D
Luke Kennard,Grizzlies,L
Daniel Theis,Pelicans,L
Yves Missi,Pelicans,D
Kyshawn George,Wizards,L
Kyle Kuzma,Wizards,L
Alex Sarr,Wizards,D
Bilal Coulibaly,Wizards,D
Jordan Poole,Wizards,D
Corey Kispert,Wizards,L
Bub Carrington,Wizards,D
Justin Champagnie,Wizards,D
Richaun Holmes,Wizards,D
Patrick Baldwin Jr,Wizards,D
Tristan Vukcevic,Wizards,L
Jerami Grant,Trailblazers,D
Nick Richards,Suns,D
Ryan Dunn,Suns,D
Josh Giddey,Thunder,L
Patrick Williams,Bulls,D
Nikola Vucevic,Bulls,L
Coby White,Bulls,D
Zach Lavine,Bulls/Kings,L
Tory Craig,Bulls,D
Andre Drummond,Bulls,D
Jevon Carter,Bulls,D
Alex Caruso,Bulls/Thunder,L
Ayo Dosunmu,Bulls,D
Trey Murphy,Pelicans,D
Jose Alvarado,Pelicans,L
John Collins,Jazz,D
Lauri Markkanen,Jazz,L
Walker Kessler,Jazz,L
Isaiah Collier,Jazz,D
Jordan Clarkson,Jazz,D
Keyonte George,Jazz,D
Johnny Juzang,Jazz,D
Brice Sensabaugh,Jazz,D
Kyle Filipowski,Jazz,L
Brice Sensabaugh,Jazz,D
Kyle Filipowski,Jazz,L
Mike Conley,Timberwolves,D
Dejounte Murray,Pelicans,D
Davion Mitchell,Heat,D
Amir Coffey,Clippers,D
